# theta,S11,S12,S33,S34
1.483529864195180237e-01,1.934440775347175290e+01,-1.496482831700554073e-01,1.932934858528780708e+01,7.483314722464640134e-01
1.570796326794896558e-01,1.847524002916578567e+01,-1.572702736533706513e-01,1.845861296477396252e+01,7.677028155434797441e-01
1.658062789394613157e-01,1.766553387713506140e+01,-1.646927842215912818e-01,1.764728944786839548e+01,7.855816916048499188e-01
1.745329251994329478e-01,1.690888377301334344e+01,-1.719172739275762751e-01,1.688897647588591155e+01,8.020402091987293147e-01
1.832595714594046077e-01,1.619986010822468359e+01,-1.789455023544288537e-01,1.617824793641334935e+01,8.171534379623541788e-01
1.919862177193762398e-01,1.553377561005988738e+01,-1.857739486938116968e-01,1.551041965558239966e+01,8.309963004738931680e-01
2.007128639793478997e-01,1.490655167793355673e+01,-1.923951913464412300e-01,1.488141600569829137e+01,8.436377674080612898e-01
2.094395102393195596e-01,1.431463563631253777e+01,-1.988021050650541355e-01,1.428768733984058947e+01,8.551383527649183414e-01
2.181661564992911917e-01,1.375493916317596899e+01,-2.049911875882992618e-01,1.372614848713088342e+01,8.655505212971430495e-01
2.268928027592628516e-01,1.322476871985540470e+01,-2.109597845703339303e-01,1.319410909161624623e+01,8.749222488253027841e-01
2.356194490192344837e-01,1.272177231275238007e+01,-2.167058042946656826e-01,1.268922026291740579e+01,8.832997741788335411e-01
2.443460952792061436e-01,1.224387861011637924e+01,-2.222293865424944670e-01,1.220941347782543041e+01,8.907300637774850927e-01
2.530727415391778035e-01,1.178924594207670395e+01,-2.275334407315376950e-01,1.175284966062694281e+01,8.972587535499818578e-01
2.617993877991494078e-01,1.135620819554325678e+01,-2.326193780739975736e-01,1.131786517669379855e+01,9.029289272418776768e-01
2.705260340591210677e-01,1.094327628736952107e+01,-2.374902541657348820e-01,1.090297333112917855e+01,9.077812630619055412e-01
2.792526803190927276e-01,1.054909256943935247e+01,-2.421447628258404094e-01,1.050681890541715191e+01,9.118533002656223907e-01
2.879793265790643875e-01,1.017244112729471617e+01,-2.465830757324258826e-01,1.012818850244503999e+01,9.151791813516347851e-01
2.967059728390360474e-01,9.812217817006111176e+00,-2.508063105415807570e-01,9.765980482219680070e+00,9.177907734712564825e-01
3.054326190990076517e-01,9.467420577976561447e+00,-2.548179179230203317e-01,9.419195293586422935e+00,9.197174839475552588e-01
3.141592653589793116e-01,9.137134274981136173e+00,-2.586219396275817317e-01,9.086919928666619128e+00,9.209905870201917644e-01
3.228859116189509715e-01,8.820517308562765280e+00,-2.622215960646574473e-01,8.768314512205886757e+00,9.216431197878487414e-01
3.316125578789226314e-01,8.516795266755774918e+00,-2.656188600842082081e-01,8.462606463919287947e+00,9.217049819940350552e-01
3.403392041388942357e-01,8.225254678564045463e+00,-2.688157054579125571e-01,8.169084058270227544e+00,9.212048049451875276e-01
3.490658503988658956e-01,7.945248865986877185e+00,-2.718147458234243530e-01,7.887102730679329099e+00,9.201667251804848124e-01
3.577924966588375555e-01,7.676179709581035127e+00,-2.746170893009196590e-01,7.616066425570612530e+00,9.186144944118546096e-01
3.665191429188092154e-01,7.417484334006440250e+00,-2.772206500524374562e-01,7.355414403858683059e+00,9.165705122486103029e-01
3.752457891787808753e-01,7.168641330178603610e+00,-2.796259784833239337e-01,7.104626793361213721e+00,9.140601511695314318e-01
3.839724354387524796e-01,6.929158734697081101e+00,-2.818334808880162967e-01,6.863213198966167994e+00,9.111066047483060704e-01
3.926990816987241395e-01,6.698589440957046115e+00,-2.838466281386251566e-01,6.630727912781232192e+00,9.077328554477894773e-01
4.014257279586957994e-01,6.476526670224312277e+00,-2.856696018435647133e-01,6.406765389680393774e+00,9.039622947351253490e-01
4.101523742186674593e-01,6.262590256408493872e+00,-2.873055223845826234e-01,6.190946676115931524e+00,8.998174870266899550e-01
4.188790204786391191e-01,6.056413455395278866e+00,-2.887573233125904082e-01,5.982906443192368862e+00,8.953176212571554160e-01
4.276056667386107235e-01,5.857645676486878727e+00,-2.900307206849421782e-01,5.782295502520380381e+00,8.904795190553098649e-01
4.363323129985823834e-01,5.665954127602507384e+00,-2.911324991065957768e-01,5.588782531039965917e+00,8.853179456005391135e-01
4.450589592585540433e-01,5.481037088190904960e+00,-2.920705706974926485e-01,5.402067026444134612e+00,8.798489561633275891e-01
4.537856055185257032e-01,5.302617641764646450e+00,-2.928504801264733004e-01,5.221872799388170172e+00,8.740920535351570653e-01
4.625122517784973075e-01,5.130425383446365117e+00,-2.934741625346544147e-01,5.047930082208933023e+00,8.680664814203347124e-01
4.712388980384689674e-01,4.964194281296562927e+00,-2.939432085384865445e-01,4.879973682010424696e+00,8.617883240664223621e-01
4.799655442984406273e-01,4.803672673101560875e+00,-2.942612129535855381e-01,4.717752775741615778e+00,8.552720244671090377e-01
4.886921905584122872e-01,4.648635500944256371e+00,-2.944330610989140951e-01,4.561043324488567308e+00,8.485310750405441471e-01
4.974188368183839470e-01,4.498875800939549308e+00,-2.944622758204533675e-01,4.409639398134316046e+00,8.415793597871383813e-01
5.061454830783556069e-01,4.354189516072928257e+00,-2.943514559922917329e-01,4.263337669500422145e+00,8.344312302720526819e-01
5.148721293383272668e-01,4.214368949468209280e+00,-2.941026299652405029e-01,4.121931383135265747e+00,8.270979131964351083e-01
5.235987755982988157e-01,4.079218260871719792e+00,-2.937186389085266747e-01,3.985225530542400918e+00,8.195904170377216191e-01
5.323254218582704755e-01,3.948567560376510244e+00,-2.932012087322493077e-01,3.853051278957408066e+00,8.119203604913065586e-01
5.410520681182421354e-01,3.822263247504808170e+00,-2.925509772713228429e-01,3.725255528930547566e+00,8.041029182237703354e-01
5.497787143782137953e-01,3.700144216492890159e+00,-2.917689476458413811e-01,3.601677343225372141e+00,7.961522588879897944e-01
5.585053606381854552e-01,3.582047330527148077e+00,-2.908610145432388716e-01,3.482153572813777132e+00,7.880795922340547710e-01
5.672320068981571151e-01,3.467824356834367627e+00,-2.898355973209822967e-01,3.366536384286892059e+00,7.798934989162474851e-01
5.759586531581287749e-01,3.357346117967084265e+00,-2.886999886534775683e-01,3.254697329615475532e+00,7.716025952354131912e-01
5.846852994181004348e-01,3.250484728232578835e+00,-2.874586016031357438e-01,3.146508289073259412e+00,7.632195671173916951e-01
5.934119456780720947e-01,3.147102110282289367e+00,-2.861152754526303799e-01,3.041830730368475511e+00,7.547552911254687968e-01
6.021385919380436436e-01,3.047064011657667049e+00,-2.846741840668980394e-01,2.940530513675108981e+00,7.462171253802469817e-01
6.108652381980153034e-01,2.950263882922366854e+00,-2.831415711305860228e-01,2.842501290297422045e+00,7.376138856009661904e-01
6.195918844579869633e-01,2.856607173669949873e+00,-2.815202509508651918e-01,2.747649419148741501e+00,7.289537450474901092e-01
6.283185307179586232e-01,2.765980938687021329e+00,-2.798097663198280127e-01,2.655862713820408061e+00,7.202432180801672246e-01
6.370451769779302831e-01,2.678262158884204602e+00,-2.780104652271173649e-01,2.567018638161774113e+00,7.114869529832233974e-01
6.457718232379019430e-01,2.593351498389171894e+00,-2.761285976133083242e-01,2.481016855287998979e+00,7.026950658388880777e-01
6.544984694978736028e-01,2.511174340329426435e+00,-2.741703731133096067e-01,2.397783148200995917e+00,6.938754558558491992e-01
6.632251157578452627e-01,2.431642226840241783e+00,-2.721358639008695235e-01,2.317229425270504795e+00,6.850356060760809385e-01
6.719517620178169226e-01,2.354646445000994515e+00,-2.700230457102215098e-01,2.239247802669358745e+00,6.761780194458009152e-01
6.806784082777884715e-01,2.280105561251640989e+00,-2.678427671647232167e-01,2.163755901623941824e+00,6.673095389066205918e-01
6.894050545377601313e-01,2.207954463765734232e+00,-2.655992007910927821e-01,2.090690277273776765e+00,6.584330969165065328e-01
6.981317007977317912e-01,2.138119783261111628e+00,-2.632901589702035805e-01,2.019979419255995001e+00,6.495518805639790560e-01
7.068583470577034511e-01,2.070507500988238991e+00,-2.609160618202559512e-01,1.951527375654520835e+00,6.406754423292253531e-01
7.155849933176751110e-01,2.005037539372510835e+00,-2.584855083435567691e-01,1.885253005780504809e+00,6.318084206980137951e-01
7.243116395776467709e-01,1.941649154459139215e+00,-2.560025241410426311e-01,1.821096143347096907e+00,6.229550411800481857e-01
7.330382858376184307e-01,1.880279496356386693e+00,-2.534657135706244180e-01,1.758991133885648095e+00,6.141305295896328786e-01
7.417649320975900906e-01,1.820863337345347333e+00,-2.508827584653162690e-01,1.698871181273509334e+00,6.053410974249320287e-01
7.504915783575617505e-01,1.763322094190522549e+00,-2.482546557636271523e-01,1.640660343178375280e+00,5.965803148562212055e-01
7.592182246175332994e-01,1.707602414029078197e+00,-2.455870399033757145e-01,1.584303505817311830e+00,5.878566251088854777e-01
7.679448708775049592e-01,1.653666940846129751e+00,-2.428886293497255489e-01,1.529762642261390360e+00,5.791767634508986351e-01
7.766715171374766191e-01,1.601438746246118150e+00,-2.401513343726612293e-01,1.476963079547167101e+00,5.705378657301521939e-01
7.853981633974482790e-01,1.550854621712147274e+00,-2.373828223749451238e-01,1.425838602323278970e+00,5.619463795167931597e-01
7.941248096574199389e-01,1.501876708712896580e+00,-2.345905676951105523e-01,1.376354091749979913e+00,5.533988867407093615e-01
8.028514559173915988e-01,1.454455258387774119e+00,-2.317657371543476730e-01,1.328460021867756025e+00,5.449024793779803089e-01
8.115781021773632586e-01,1.408547331071694941e+00,-2.289180245941522251e-01,1.282110621918544968e+00,5.364647938576655450e-01
8.203047484373349185e-01,1.364082324542532199e+00,-2.260425007815993759e-01,1.237239107047801934e+00,5.280764792729522039e-01
8.290313946973065784e-01,1.321026719313518338e+00,-2.231503936006290489e-01,1.193807980428898574e+00,5.197480166776931032e-01
8.377580409572782383e-01,1.279351656681410709e+00,-2.202452403619624688e-01,1.151791390185448849e+00,5.114775547822629775e-01
8.464846872172497871e-01,1.238994906133162210e+00,-2.173220304928776825e-01,1.111123560377854425e+00,5.032732320118142866e-01
8.552113334772214470e-01,1.199915048059163603e+00,-2.143939220619485164e-01,1.071762391561836170e+00,4.951330576475109213e-01
8.639379797371931069e-01,1.162063319622965052e+00,-2.114512930957994641e-01,1.033661684369198586e+00,4.870554708945287192e-01
8.726646259971647668e-01,1.125429423872976509e+00,-2.085054698377445948e-01,9.968073903694313342e-01,4.790531115353341418e-01
8.813912722571364267e-01,1.089954411136119683e+00,-2.055419044593489453e-01,9.611442740099495063e-01,4.711208214505028247e-01
8.901179185171080865e-01,1.055600652943446072e+00,-2.025744546753423525e-01,9.266285464482478806e-01,4.632665169368757052e-01
8.988445647770797464e-01,1.022330112722955819e+00,-1.995998481111370126e-01,8.932279429789579117e-01,4.554806273550194851e-01
9.075712110370514063e-01,9.901265237899240512e-01,-1.966245131591829454e-01,8.609195708028956062e-01,4.477798862675628211e-01
9.162978572970230662e-01,9.589454798238710165e-01,-1.936427906856663661e-01,8.296638182274496121e-01,4.401554857256138042e-01
9.250245035569946150e-01,9.287471868008601028e-01,-1.906620734612118340e-01,7.994148634845648083e-01,4.326143626533199282e-01
9.337511498169662749e-01,8.995066159994589139e-01,-1.876843048640013945e-01,7.701542003390118296e-01,4.251461650240911938e-01
9.424777960769379348e-01,8.712074894986707729e-01,-1.847128619026998098e-01,7.418593628748305635e-01,4.177658843434217673e-01
9.512044423369095947e-01,8.438118620109134049e-01,-1.817443733267892214e-01,7.144976315659307131e-01,4.104638543417102325e-01
9.599310885968812546e-01,8.172847349459620991e-01,-1.787868171489707114e-01,6.880275879876370793e-01,4.032463888956061560e-01
9.686577348568529144e-01,7.916016734521620357e-01,-1.758412882303386771e-01,6.624315890055877398e-01,3.961028157603657673e-01
9.773843811168245743e-01,7.667495844131446692e-01,-1.729126925458092101e-01,6.376885796190595590e-01,3.890493559661998280e-01
9.861110273767962342e-01,7.426865510420996852e-01,-1.699903836141570812e-01,6.137622493772878496e-01,3.820765418301063643e-01
9.948376736367678941e-01,7.193868692366740536e-01,-1.670857393613028874e-01,5.906191859520355525e-01,3.751916850325779929e-01
1.003564319896739443e+00,6.968237608824552343e-01,-1.641913838241395029e-01,5.682407599487874217e-01,3.683842856869817828e-01
1.012290966156711214e+00,6.749962251071004449e-01,-1.613190118017149288e-01,5.466188848798135824e-01,3.616681836060545163e-01
1.021017612416682763e+00,6.538610261631032650e-01,-1.584537494173562933e-01,5.257153200166404527e-01,3.550352843457246221e-01
1.029744258676654534e+00,6.334016347625430754e-01,-1.556131029640765440e-01,5.055086959598387164e-01,3.484869458311704582e-01
1.038470904936626082e+00,6.135899301373641812e-01,-1.527861817667591215e-01,4.859737877331530287e-01,3.420211435911565401e-01
1.047197551196597631e+00,5.944243933750112951e-01,-1.499816050778261800e-01,4.671092077783853824e-01,3.356409772155039550e-01
1.055924197456569402e+00,5.758715515043081323e-01,-1.471903116599152794e-01,4.488766769100464571e-01,3.293520683275417693e-01
1.064650843716540951e+00,5.579052868767053752e-01,-1.444172635235429769e-01,4.312556174326486191e-01,3.231416957839633453e-01
1.073377489976512722e+00,5.405180406598871778e-01,-1.416724578769191778e-01,4.142306034034757278e-01,3.170199901613593441e-01
1.082104136236484271e+00,5.236906151963196532e-01,-1.389457735926602766e-01,3.977902321625313986e-01,3.109804875575254979e-01
1.090830782496456042e+00,5.074130175109387020e-01,-1.362507169928574013e-01,3.819150919674624278e-01,3.050320884529580945e-01
1.099557428756427591e+00,4.916472273628033629e-01,-1.335769077243979530e-01,3.665701762950426268e-01,2.991663613231625996e-01
1.108284075016399362e+00,4.763891045926927914e-01,-1.309368791569179846e-01,3.517525683932181679e-01,2.933807138856414087e-01
1.117010721276370910e+00,4.616270211049274819e-01,-1.283248933097810296e-01,3.374446956796222086e-01,2.876861236294334101e-01
1.125737367536342459e+00,4.473361506097442986e-01,-1.257335478977089638e-01,3.236288509982308548e-01,2.820728157355175680e-01
1.134464013796314230e+00,4.335053326442428467e-01,-1.231757589012602849e-01,3.102849849582358099e-01,2.765462600715505315e-01
1.143190660056285779e+00,4.201121675095333963e-01,-1.206410931568296929e-01,2.973976856502077437e-01,2.710988316119853359e-01
1.151917306316257550e+00,4.071587606402068960e-01,-1.181386595740857026e-01,2.849681162771900422e-01,2.657342397688665092e-01
1.160643952576229099e+00,3.946247260850755945e-01,-1.156620604266617169e-01,2.729690257663586750e-01,2.604589664184077114e-01
1.169370598836200870e+00,3.824842510321971867e-01,-1.132072568272373403e-01,2.613832414066757370e-01,2.552589281514991981e-01
1.178097245096172418e+00,3.707377961294060498e-01,-1.107892497406193777e-01,2.502048067407113274e-01,2.501395816432157582e-01
1.186823891356144189e+00,3.593705116404356525e-01,-1.083953474786415183e-01,2.394217149038318226e-01,2.451017252370968624e-01
1.195550537616115738e+00,3.483717460085497541e-01,-1.060288210910415169e-01,2.290264104609457119e-01,2.401409290946960318e-01
1.204277183876087287e+00,3.377293702116877516e-01,-1.036964842743641063e-01,2.189970471483706771e-01,2.352625341889653665e-01
1.213003830136059058e+00,3.274240861065255692e-01,-1.013914204912486627e-01,2.093230825754059943e-01,2.304564147829042675e-01
1.221730476396030607e+00,3.174609500495370051e-01,-9.912503974063582857e-02,2.000058272305632323e-01,2.257284881812441357e-01
1.230457122656002378e+00,3.078262254332314041e-01,-9.689130354639853560e-02,1.910230636540956872e-01,2.210865204252705496e-01
1.239183768915973927e+00,2.984956667070420844e-01,-9.468339230000273610e-02,1.823582654676175474e-01,2.165183162715968723e-01
1.247910415175945698e+00,2.894672928502918796e-01,-9.251455899770284763e-02,1.740042032104881786e-01,2.120257231295776534e-01
1.256637061435917246e+00,2.807320208975752074e-01,-9.037669790413226101e-02,1.659511957961930795e-01,2.076119472645912567e-01
1.265363707695889017e+00,2.722781169309624882e-01,-8.826524177241756863e-02,1.581943001611232080e-01,2.032712066448665034e-01
1.274090353955860566e+00,2.641001653807281691e-01,-8.619021980028658547e-02,1.507194443797663375e-01,1.990070160842596358e-01
1.282817000215832115e+00,2.561818039236983813e-01,-8.414590378215279498e-02,1.435115244426822256e-01,1.948153635892773961e-01
1.291543646475803886e+00,2.485173980708251240e-01,-8.213236833099611667e-02,1.365725537209346585e-01,1.906911345248566148e-01
1.300270292735775435e+00,2.411083442904476959e-01,-8.015553259552656018e-02,1.298949356391039811e-01,1.866430549903252412e-01
1.308996938995747206e+00,2.339360397759959187e-01,-7.820540996124110411e-02,1.234605176306761004e-01,1.826676904798330003e-01
1.317723585255718755e+00,2.269884649583056579e-01,-7.628441630047759492e-02,1.172646617355393162e-01,1.787552800950867882e-01
1.326450231515690525e+00,2.202696417415663799e-01,-7.440272902159648927e-02,1.113042423912376094e-01,1.749123054928083676e-01
1.335176877775662074e+00,2.137703611550773042e-01,-7.255049059515022991e-02,1.055695044924623571e-01,1.711410919212308368e-01
1.343903524035633845e+00,2.074781022703773292e-01,-7.072541782733020310e-02,1.000532990193643557e-01,1.674348098520984929e-01
1.352630170295605394e+00,2.013901725131463649e-01,-6.893795680590705799e-02,9.474541657130194916e-02,1.637951944808888338e-01
1.361356816555576943e+00,1.954989251344833590e-01,-6.718432851502094405e-02,8.963680463786316555e-02,1.602227792326597067e-01
1.370083462815548714e+00,1.897970885438380606e-01,-6.545922484908636707e-02,8.472763249511325312e-02,1.567139208674433182e-01
1.378810109075520263e+00,1.842829285256861183e-01,-6.376740889753605701e-02,8.001040982979998328e-02,1.532718161547158564e-01
1.387536755335492034e+00,1.789467522445924164e-01,-6.210631741147124713e-02,7.547052763716594059e-02,1.498964473716468404e-01
1.396263401595463582e+00,1.737764828830901664e-01,-6.047172654751032522e-02,7.110501127434572244e-02,1.465793766641652340e-01
1.404990047855435353e+00,1.687738508105833535e-01,-5.886959778916413949e-02,6.691509918096479048e-02,1.433225476858988046e-01
1.413716694115406902e+00,1.639376403695738671e-01,-5.729957655443145698e-02,6.289014487931191000e-02,1.401325734213346441e-01
1.422443340375378673e+00,1.592535834596938704e-01,-5.575384112794617986e-02,5.902062596743015699e-02,1.370028421407604724e-01
1.431169986635350222e+00,1.547147593640189889e-01,-5.423633517356105799e-02,5.530475443416983661e-02,1.339270728754407280e-01
1.439896632895321771e+00,1.503246811507632508e-01,-5.275441601029082911e-02,5.173937944485496043e-02,1.309103432474039708e-01
1.448623279155293542e+00,1.460775294762132470e-01,-5.130074306496257980e-02,4.831752523884158546e-02,1.279542696968356263e-01
1.457349925415265091e+00,1.419630287708326666e-01,-4.987148520758156317e-02,4.503519360263498472e-02,1.250526602601936821e-01
1.466076571675236861e+00,1.379788504701208174e-01,-4.847374638830877214e-02,4.188709107383109531e-02,1.222044626415519641e-01
1.474803217935208410e+00,1.341241752001577359e-01,-4.710964710036252834e-02,3.886646406784395602e-02,1.194126186550856228e-01
1.483529864195180181e+00,1.303925525097497928e-01,-4.577215194902414797e-02,3.597162575186876876e-02,1.166754901285218249e-01
1.492256510455151730e+00,1.267791320136137379e-01,-4.446053504924047522e-02,3.320032677883714978e-02,1.139909971841591846e-01
1.500983156715123501e+00,1.232827728763026542e-01,-4.317998261696595619e-02,3.054453967075666104e-02,1.113605059505842765e-01
