<wavelength [nm]>,<Efficiency>
372.469933,-0.194853719
383.1297568,2.150722594
387.7953049,6.187980261
391.8372083,10.61575608
398.1475925,14.71839972
409.3817695,19.6682411
418.9871836,23.57613676
431.872626,28.20074022
440.2521819,31.58759253
451.1081001,34.51913994
460.5774269,34.19524145
470.0381812,34.39217483
480.1697286,31.3340148
490.5305886,26.8436024
500.7017836,21.37659499
506.1152767,17.47127247
515.87178,12.19950652
526.2176384,8.620549877
541.2815509,5.888755728
559.8537328,2.506520973
577.5686711,1.207472682
600.4131406,0.755657385
616.4618118,0.693302785
635.177582,1.087134297
651.834896,1.545717307
666.2537328,0.506520973
680.2535918,-0.077017977
